time,task,seed,timesteps,reward,cpu_percent,mem_percent,load1,load5,load15,mem_available_mb,mem_total_mb,swap_used_mb,swap_total_mb,swap_percent
1787280761.1652956,traverse_curve,seed00,4000240.0,-6.0819,1.3,49.8,0.6787109375,0.7626953125,0.8916015625,7877.75390625,15696.51953125,0.59765625,4095.99609375,0.0
1787280761.1652956,traverse_flat_slope,seed00,4001376.0,7.334,1.3,49.8,0.6787109375,0.7626953125,0.8916015625,7877.75390625,15696.51953125,0.59765625,4095.99609375,0.0
1787280761.1652956,traverse_slope,seed00,8006416.0,8.1236,1.3,49.8,0.6787109375,0.7626953125,0.8916015625,7877.75390625,15696.51953125,0.59765625,4095.99609375,0.0
1787280793.7552938,balance,seed00,4005888.0,-18.8337,7.2,49.9,0.48388671875,0.705078125,0.8681640625,7856.96484375,15696.51953125,0.59765625,4095.99609375,0.0
1787280793.7552938,full_chain,seed00,5905888.0,-9.4164,7.2,49.9,0.48388671875,0.705078125,0.8681640625,7856.96484375,15696.51953125,0.59765625,4095.99609375,0.0
1787280793.7552938,full_chain_simple,seed00,4005888.0,511.9575,7.2,49.9,0.48388671875,0.705078125,0.8681640625,7856.96484375,15696.51953125,0.59765625,4095.99609375,0.0
1787280793.7552938,traverse_curve,seed00,4000240.0,-6.0819,7.2,49.9,0.48388671875,0.705078125,0.8681640625,7856.96484375,15696.51953125,0.59765625,4095.99609375,0.0
1787280793.7552938,traverse_flat_slope,seed00,4001376.0,7.334,7.2,49.9,0.48388671875,0.705078125,0.8681640625,7856.96484375,15696.51953125,0.59765625,4095.99609375,0.0
1787280793.7552938,traverse_slope,seed00,8006416.0,8.1236,7.2,49.9,0.48388671875,0.705078125,0.8681640625,7856.96484375,15696.51953125,0.59765625,4095.99609375,0.0
1787280826.3509698,balance,seed00,4005888.0,-18.8337,3.3,49.5,0.43359375,0.6728515625,0.85107421875,7923.796875,15696.51953125,0.59765625,4095.99609375,0.0
1787280826.3509698,full_chain,seed00,5905888.0,-9.4164,3.3,49.5,0.43359375,0.6728515625,0.85107421875,7923.796875,15696.51953125,0.59765625,4095.99609375,0.0
1787280826.3509698,full_chain_simple,seed00,4005888.0,511.9575,3.3,49.5,0.43359375,0.6728515625,0.85107421875,7923.796875,15696.51953125,0.59765625,4095.99609375,0.0
1787280826.3509698,traverse_curve,seed00,4000240.0,-6.0819,3.3,49.5,0.43359375,0.6728515625,0.85107421875,7923.796875,15696.51953125,0.59765625,4095.99609375,0.0
1787280826.3509698,traverse_flat_slope,seed00,4001376.0,7.334,3.3,49.5,0.43359375,0.6728515625,0.85107421875,7923.796875,15696.51953125,0.59765625,4095.99609375,0.0
1787280826.3509698,traverse_slope,seed00,8006416.0,8.1236,3.3,49.5,0.43359375,0.6728515625,0.85107421875,7923.796875,15696.51953125,0.59765625,4095.99609375,0.0
1787280859.0815363,balance,seed00,4005888.0,-18.8337,4.2,49.9,0.5107421875,0.67041015625,0.84375,7868.15234375,15696.51953125,0.59765625,4095.99609375,0.0
1787280859.0815363,full_chain,seed00,5905888.0,-9.4164,4.2,49.9,0.5107421875,0.67041015625,0.84375,7868.15234375,15696.51953125,0.59765625,4095.99609375,0.0
1787280859.0815363,full_chain_simple,seed00,4005888.0,511.9575,4.2,49.9,0.5107421875,0.67041015625,0.84375,7868.15234375,15696.51953125,0.59765625,4095.99609375,0.0
1787280859.0815363,traverse_curve,seed00,4000240.0,-6.0819,4.2,49.9,0.5107421875,0.67041015625,0.84375,7868.15234375,15696.51953125,0.59765625,4095.99609375,0.0
1787280859.0815363,traverse_flat_slope,seed00,4001376.0,7.334,4.2,49.9,0.5107421875,0.67041015625,0.84375,7868.15234375,15696.51953125,0.59765625,4095.99609375,0.0
1787280859.0815363,traverse_slope,seed00,8006416.0,8.1236,4.2,49.9,0.5107421875,0.67041015625,0.84375,7868.15234375,15696.51953125,0.59765625,4095.99609375,0.0
1787280891.8210535,balance,seed00,4005888.0,-18.8337,7.6,49.8,0.720703125,0.69384765625,0.84326171875,7877.5859375,15696.51953125,0.59765625,4095.99609375,0.0
1787280891.8210535,full_chain,seed00,5905888.0,-9.4164,7.6,49.8,0.720703125,0.69384765625,0.84326171875,7877.5859375,15696.51953125,0.59765625,4095.99609375,0.0
1787280891.8210535,full_chain_simple,seed00,4005888.0,511.9575,7.6,49.8,0.720703125,0.69384765625,0.84326171875,7877.5859375,15696.51953125,0.59765625,4095.99609375,0.0
1787280891.8210535,traverse_curve,seed00,4000240.0,-6.0819,7.6,49.8,0.720703125,0.69384765625,0.84326171875,7877.5859375,15696.51953125,0.59765625,4095.99609375,0.0
1787280891.8210535,traverse_flat_slope,seed00,4001376.0,7.334,7.6,49.8,0.720703125,0.69384765625,0.84326171875,7877.5859375,15696.51953125,0.59765625,4095.99609375,0.0
1787280891.8210535,traverse_slope,seed00,8006416.0,8.1236,7.6,49.8,0.720703125,0.69384765625,0.84326171875,7877.5859375,15696.51953125,0.59765625,4095.99609375,0.0
1787280924.4015865,balance,seed00,4005888.0,-18.8337,4.7,50.1,0.5556640625,0.658203125,0.82568359375,7825.140625,15696.51953125,0.59765625,4095.99609375,0.0
1787280924.4015865,full_chain,seed00,5905888.0,-9.4164,4.7,50.1,0.5556640625,0.658203125,0.82568359375,7825.140625,15696.51953125,0.59765625,4095.99609375,0.0
1787280924.4015865,full_chain_simple,seed00,4005888.0,511.9575,4.7,50.1,0.5556640625,0.658203125,0.82568359375,7825.140625,15696.51953125,0.59765625,4095.99609375,0.0
1787280924.4015865,traverse_curve,seed00,4000240.0,-6.0819,4.7,50.1,0.5556640625,0.658203125,0.82568359375,7825.140625,15696.51953125,0.59765625,4095.99609375,0.0
1787280924.4015865,traverse_flat_slope,seed00,4001376.0,7.334,4.7,50.1,0.5556640625,0.658203125,0.82568359375,7825.140625,15696.51953125,0.59765625,4095.99609375,0.0
1787280924.4015865,traverse_slope,seed00,8006416.0,8.1236,4.7,50.1,0.5556640625,0.658203125,0.82568359375,7825.140625,15696.51953125,0.59765625,4095.99609375,0.0
1787280956.892964,balance,seed00,4005888.0,-18.8337,6.7,50.4,0.75634765625,0.6962890625,0.83154296875,7779.984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280956.892964,full_chain,seed00,5905888.0,-9.4164,6.7,50.4,0.75634765625,0.6962890625,0.83154296875,7779.984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280956.892964,full_chain_simple,seed00,4005888.0,511.9575,6.7,50.4,0.75634765625,0.6962890625,0.83154296875,7779.984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280956.892964,traverse_curve,seed00,4000240.0,-6.0819,6.7,50.4,0.75634765625,0.6962890625,0.83154296875,7779.984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280956.892964,traverse_flat_slope,seed00,4001376.0,7.334,6.7,50.4,0.75634765625,0.6962890625,0.83154296875,7779.984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280956.892964,traverse_slope,seed00,8006416.0,8.1236,6.7,50.4,0.75634765625,0.6962890625,0.83154296875,7779.984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280989.5710707,balance,seed00,4005888.0,-18.8337,3.8,50.1,1.12744140625,0.7900390625,0.85791015625,7824.83984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280989.5710707,full_chain,seed00,5905888.0,-9.4164,3.8,50.1,1.12744140625,0.7900390625,0.85791015625,7824.83984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280989.5710707,full_chain_simple,seed00,4005888.0,511.9575,3.8,50.1,1.12744140625,0.7900390625,0.85791015625,7824.83984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280989.5710707,traverse_curve,seed00,4000240.0,-6.0819,3.8,50.1,1.12744140625,0.7900390625,0.85791015625,7824.83984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280989.5710707,traverse_flat_slope,seed00,4001376.0,7.334,3.8,50.1,1.12744140625,0.7900390625,0.85791015625,7824.83984375,15696.51953125,0.59765625,4095.99609375,0.0
1787280989.5710707,traverse_slope,seed00,8006416.0,8.1236,3.8,50.1,1.12744140625,0.7900390625,0.85791015625,7824.83984375,15696.51953125,0.59765625,4095.99609375,0.0
